<TICKER>,<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
Overall Index,20081206,9248.80,9248.80,9167.80,9178.30,8539624
Overall Index,20081207,9178.30,9178.30,9130.30,9130.50,11752353
Overall Index,20081208,9102.70,9103.40,9079.60,9089.20,15299115
Overall Index,20081210,9071.60,9071.60,9023.70,9023.70,15689653
Overall Index,20081213,8973.30,8973.00,8973.00,8973.30,31428174
Overall Index,20081214,8963.90,8964.50,8907.00,8907.00,33424537
Overall Index,20081215,8901.80,8903.60,8890.70,8890.70,15030721
Overall Index,20081216,8890.80,8890.80,8866.30,8869.00,15206608
Overall Index,20081220,8861.50,8861.90,8854.20,8857.10,9680384
Overall Index,20081221,8857.30,8860.80,8851.60,8851.60,23942447
Overall Index,20081222,8840.10,8840.60,8832.20,8832.20,18510368
Overall Index,20081223,8829.00,8829.50,8803.40,8803.40,16750639
Overall Index,20081224,8796.40,8802.30,8792.50,8795.70,15493315
Overall Index,20081227,8784.90,8795.60,8784.90,8786.70,36809581
Overall Index,20081228,8769.70,8769.70,8757.80,8757.80,22322193
Overall Index,20081229,8750.10,8751.90,8726.20,8726.90,37152907
Overall Index,20081230,8717.20,8717.20,8689.80,8695.00,29866547
Overall Index,20081231,8694.20,8694.20,8654.20,8656.30,15827037
Overall Index,20090103,8655.70,8656.50,8636.80,8641.80,15850479
Overall Index,20090104,8627.20,8629.40,8618.70,8619.60,9364342
Overall Index,20090105,8612.30,8615.50,8596.40,8596.40,34895535
Overall Index,20090110,8592.70,8592.90,8575.70,8575.70,17954374
Overall Index,20090111,8573.60,8573.60,8541.70,8542.00,17591612
Overall Index,20090112,8535.80,8535.80,8518.40,8519.00,38577406
Overall Index,20090113,8518.70,8521.00,8461.30,8463.70,21786228
Overall Index,20090114,8470.90,8471.10,8452.90,8456.90,27901910
Overall Index,20090117,8454.60,8458.20,8449.60,8458.10,41437444
Overall Index,20090118,8449.00,8461.80,8449.00,8459.90,41438920
Overall Index,20090119,8450.60,8471.00,8450.60,8467.40,50872473
Overall Index,20090120,8468.60,8521.00,8468.60,8496.90,18145974
Overall Index,20090121,8494.90,8520.30,8494.90,8514.30,18216417
Overall Index,20090124,8514.50,8564.10,8514.50,8553.70,104929276
Overall Index,20090125,8547.10,8549.60,8518.10,8519.10,30934413
Overall Index,20090126,8517.00,8517.40,8505.70,8507.30,24238918
Overall Index,20090127,8505.50,8510.30,8504.70,8509.10,30858309
Overall Index,20090128,8516.00,8516.20,8496.10,8505.60,24122310
Overall Index,20090131,8506.80,8509.00,8502.10,8508.30,19555340
Overall Index,20090201,8511.40,8518.00,8486.70,8491.80,45910132
Overall Index,20090202,8502.30,8502.50,8493.20,8496.20,23994605
Overall Index,20090203,8496.50,8496.90,8481.10,8483.40,19609854
Overall Index,20090204,8483.80,8484.90,8462.30,8466.40,30228102
Overall Index,20090207,8466.40,8467.70,8444.20,8451.30,24161523
Overall Index,20090208,8452.80,8452.80,8437.70,8438.00,25955001
Overall Index,20090209,8439.50,8439.50,8423.50,8423.70,20913900
Overall Index,20090211,8423.50,8433.50,8423.50,8430.00,12368889
Overall Index,20090214,8430.50,8433.00,8420.00,8420.00,14432290
Overall Index,20090215,8420.00,8423.10,8412.70,8412.70,16758928
Overall Index,20090217,8413.10,8413.10,8390.20,8390.20,25790685
Overall Index,20090218,8389.50,8389.50,8376.60,8376.60,12942983
Overall Index,20090221,8376.00,8376.00,8355.90,8355.90,351708793
Overall Index,20090222,8350.70,8353.60,8291.10,8297.00,45390914
Overall Index,20090223,8297.30,8297.30,8266.20,8266.20,34248906
Overall Index,20090225,8266.00,8266.00,8248.90,8248.90,119714998
Overall Index,20090228,8249.00,8249.00,8236.40,8243.20,117681460
Overall Index,20090301,8243.60,8244.10,8226.50,8226.80,58188667
Overall Index,20090302,8226.00,8226.00,8215.80,8216.10,20240217
Overall Index,20090303,8215.00,8215.00,8200.90,8200.90,20748533
